,업체명,소재지도로명주소,위도,경도,차고지도로명주소,자동차총보유대수
2959,(주)씨엔에스렌터카 서울특별시영업소,"서울특별시 강서구 양천로 344, 205-2호(마곡동, 마곡센트럴대방디엠시티오피스텔)",37.56826602,126.8403596,서울특별시 양천구 신정로 167(신정동),86
2960,(주)피플카 서울특별시영업소,"서울특별시 서초구 반포대로27길 16, 4층 동편(서초동, 파크빌딩)",37.490192,127.0072380315,서울특별시 양천구 신정로 167(신정동),30
2961,타이거운수(주),서울특별시 송파구 올림픽로 203,37.51248608,127.0933226,"서울특별시 양천구 신정로 167(신정동, 서부트럭터미널)",134
2962,(주)성일렌트카,경기도 성남시 분당구 성남대로165(금곡동),37.35076234,127.108309,,36
2963,메리츠캐피탈(주),서울특별시 영등포구 국제금융로 10,37.525178,126.924877,서울특별시 영등포구 국제금융로 10,3095
2964,(주)디디렌트카,"서울특별시 성북구 장월로1길 28, 206호 (상월곡동, 동아에코빌상가)",37.60877249,127.045612,서울특별시 영등포구 국제금융로2길 37 에스트레뉴 주차장(제1차고지),51
2965,(주)동아렌트카 서울특별시영업소,"서울특별시 서초구 서초중앙로 26, 216호(서초동, 래미안서초유니빌)",37.484624,127.0169918,서울특별시 영등포구 국회대로22길 20(양평동3가),15
2966,(주)레드캡투어,서울특별시 영등포구 여의대로 128,37.5279271,126.9292412,서울특별시 영등포구 여의대로 128,0
2967,현대캐피탈(주),서울특별시 영등포구 의사당대로 3,37.529127,126.918138,서울특별시 영등포구 의사당대로 3,678
2968,(주)아마존카,서울특별시 영등포구 의사당대로 8,37.527871,126.916895,서울특별시 영등포구 의사당대로 8,492
2969,(주)나들이렌트카 동서울특별시영업소,서울특별시 동대문구 천호대로27길 52,37.576445,127.037627,,13
2970,(주)브이카 토마토지점 영업소,,37.54035753,127.1258172,서울특별시 용산구 후암로35길 23,0
2971,제주원렌트카(강남영업소),서울특별시 강남구 봉은사로 18길 74,37.5019341,127.0275357,서울특별시 은평구 가좌로5길 16,19
2972,(주)에듀카레져,경기도 양주시 독바위로 13,37.840073,127.0629582,"서울특별시 종로구 대학로 57(연건동, 홍익대학교 대학로캠퍼스주차장)",14
2973,(주)와이드 강북영업소,서울특별시 강북구 도봉로 352,37.63867477,127.027071,서울특별시 종로구 돈화문로5가길 1,11
2974,(주)라인(서초영업소),서울특별시 서초구 서초중앙로 209,37.50031833,127.0118255,서울특별시 종로구 새문안로 9,81
2975,(주)하이월드카,서울특별시 종로구 새문안로 92,37.56969962,126.974907,"서울특별시 종로구 연지동 1-7 현대그룹사옥 지하3,4층 주차장",50
2976,(주)하이엠카,서울특별시 종로구 새문안로 92,37.56969962,126.974908,"서울특별시 종로구 율곡로 194, 현대그룹사옥 지하2층 주차장",278
2977,(주)우리카드,서울특별시 종로구 종로1길 50,37.574724,126.979022,서울특별시 종로구 종로1길 50,0
2978,SK네트웍스(주)SK렌터카,서울특별시 중구 남대문로 90,37.565093,126.9829197121,서울특별시 중구 남대문로 90,385
2979,(주)에버렉스,"서울특별시 성동구 왕십리로 369, 지하1층 비104호",37.56422094,127.0290191,서울특별시 중구 다산로 290 성동공고 공영주차장 지하,51
2980,삼성카드(주),서울특별시 중구 세종대로 67,37.562383,126.9755595325,서울특별시 중구 세종대로 67,2
2981,(주)레드캡투어 을지로 영업소,서울특별시 중구 을지로 100,37.565649,126.988143,서울특별시 중구 을지로 100,0
2982,신한카드(주),서울특별시 중구 을지로 100,37.565649,126.988143,서울특별시 중구 을지로 100,50
2983,영일산업 거제영업소,경상남도 거제시 고현로14길 59,34.8836115,128.6291099625,경상남도 거제시 고현로14길 59,2
2984,㈜코센모빌리티 서울특별시영업소,,37.56564902,126.9881426,서울특별시 중구 을지로 100 파인에비뉴,12
2985,(주)조이렌트카,서울특별시 중구 청계천로 100,37.56749996,126.988422,서울특별시 중구 청계천로 100,2
2986,(합)나우렌트카 면목영업소,서울특별시 중랑구 망우로42길 26,37.594336,127.083063,서울특별시 중랑구 망우로42길 26,0
2987,(주)우리렌트카(중랑영업소),서울특별시 중랑구 사가정로 372-1 (면목동),37.580743,127.085927,서울특별시 중랑구 사가정로52길 22,1
2988,(주)금성 서울특별시영업소,"서울특별시 도봉구 노해로 397-15, 1410(창동,백상빌딩)",37.65339468,127.0518258,,83
2989,(주)제이디렌트카 불광동영업소,서울특별시 은평구 통일로 796,37.6163432,126.9257576,서을특별시 은평구 가좌로5길 16(응암동),0
2990,(주)엠알렌터카,경상북도 성주군 선남면 소학2길 22-11,35.882972,128.380072,,67
2991,(주)경일알씨 성수 영업소,,37.546619,127.061143,,6
